"MSN","YYYY","MM","Value","Column_Order","Description","Unit"
"LNIMPAG","1975","11","0","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1975","12","1.021","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1975","13","4.893","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1976","01","1.032","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1976","02","0","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1976","03","1.023","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1976","04","2.058","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1976","05","0","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1976","06","0","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1976","07","0.606","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1976","08","1.365","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1976","09","1.015","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1976","10","2.031","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1976","11","1.026","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1976","12","0","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1976","13","10.155","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1977","01","0","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1977","02","1.765","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1977","03","1.656","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1977","04","1.616","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1977","05","1.038","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1977","06","1.056","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1977","07","1.055","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1977","08","1.056","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1977","09","0","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1977","10","1.048","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
