"MSN","YYYY","MM","Value","Column_Order","Description","Unit"
"CLEXBUS","1976","09","0.15253","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1976","10","0.157292","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1976","11","0.146492","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1976","12","0.123641","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1976","13","1.596619","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1977","01","0.057875","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1977","02","0.082856","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1977","03","0.091564","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1977","04","0.150129","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1977","05","0.152837","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1977","06","0.160483","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1977","07","0.138634","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1977","08","0.115059","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1977","09","0.136218","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1977","10","0.130908","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1977","11","0.121218","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1977","12","0.104095","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1977","13","1.441875","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1978","01","0.023715","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1978","02","0.015605","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1978","03","0.010011","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1978","04","0.069249","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1978","05","0.118514","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1978","06","0.143844","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1978","07","0.094685","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1978","08","0.096262","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1978","09","0.091512","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1978","10","0.133835","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1978","11","0.159672","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1978","12","0.121124","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1978","13","1.078028","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1979","01","0.095757","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1979","02","0.072422","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1979","03","0.123301","1","Coal Exports","Quadrillion Btu"
