"MSN","YYYY","MM","Value","Column_Order","Description","Unit"
"CLRCPUS","1975","09","227.4","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1975","10","259.5","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1975","11","272.4","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1975","12","374.4","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1975","13","2823","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1976","01","331.76","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1976","02","205.61","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1976","03","188.21","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1976","04","216.92","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1976","05","169.36","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1976","06","151.67","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1976","07","116.58","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1976","08","155.15","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1976","09","173.42","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1976","10","223.59","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1976","11","261.87","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1976","12","391.5","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1976","13","2585.64","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1977","01","344.4","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1977","02","231.28","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1977","03","203.56","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1977","04","210.28","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1977","05","163.8","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1977","06","169.68","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1977","07","127.68","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1977","08","158.48","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1977","09","149.52","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1977","10","192.08","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1977","11","256.76","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1977","12","299.6","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1977","13","2507.12","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1978","01","235.52","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1978","02","241.73","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1978","03","188.14","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1978","04","159.16","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1978","05","143.52","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1978","06","138.92","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1978","07","125.81","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1978","08","128.34","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1978","09","146.74","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1978","10","211.83","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1978","11","225.17","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1978","12","242.65","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1978","13","2187.53","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1979","01","258.2","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1979","02","156.4","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1979","03","123.2","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1979","04","110.6","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1979","05","100","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1979","06","102.6","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1979","07","89","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1979","08","84.2","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1979","09","111.8","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1979","10","156","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1979","11","186.6","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1979","12","199","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1979","13","1677.6","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1980","01","181.44","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1980","02","158.76","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1980","03","113.19","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1980","04","121.38","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1980","05","73.29","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1980","06","57.96","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1980","07","71.82","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1980","08","67.83","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1980","09","90.09","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1980","10","122.85","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1980","11","129.99","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1980","12","166.32","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1980","13","1354.92","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1981","01","161.1","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1981","02","128.16","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1981","03","85.32","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1981","04","101.16","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1981","05","84.6","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1981","06","54","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1981","07","77.4","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1981","08","82.62","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1981","09","105.66","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1981","10","112.68","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1981","11","153.18","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1981","12","190.08","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1981","13","1335.78","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1982","01","168.81","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1982","02","117.81","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1982","03","95.71","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1982","04","119.51","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1982","05","79.39","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1982","06","61.71","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1982","07","106.76","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1982","08","113.9","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1982","09","108.29","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1982","10","112.2","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1982","11","143.65","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1982","12","173.06","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1982","13","1400.8","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1983","01","141.44","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1983","02","123.68","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1983","03","88.16","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1983","04","122.72","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1983","05","74.08","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1983","06","58.72","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1983","07","95.84","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1983","08","90.56","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1983","09","120.32","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1983","10","127.84","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1983","11","135.2","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1983","12","173.12","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1983","13","1351.68","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1984","01","198.645","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1984","02","173.827","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1984","03","123.893","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1984","04","176.309","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1984","05","106.446","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1984","06","84.173","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1984","07","132.021","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1984","08","124.672","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1984","09","165.639","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1984","10","131.616","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1984","11","139.25","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1984","12","178.183","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1984","13","1734.674","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1985","01","182.584","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1985","02","159.772","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1985","03","113.875","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1985","04","167.998","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1985","05","101.428","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1985","06","80.206","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1985","07","115.082","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1985","08","108.676","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1985","09","144.386","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1985","10","157.517","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1985","11","166.654","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1985","12","213.248","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1985","13","1711.426","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1986","01","205.311","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1986","02","179.66","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1986","03","128.05","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1986","04","185.118","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1986","05","111.765","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1986","06","88.379","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1986","07","108.034","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1986","08","102.02","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1986","09","135.543","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1986","10","152.296","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1986","11","161.129","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1986","12","206.178","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1986","13","1763.484","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1987","01","166.518","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1987","02","145.714","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1987","03","103.855","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1987","04","138.584","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
