"MSN","YYYY","MM","Value","Column_Order","Description","Unit"
"COEXPUS","1976","02","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1976","03","1.452","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1976","04","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1976","05","0.032","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1976","06","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1976","07","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1976","08","12.258","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1976","09","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1976","10","18.161","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1976","11","30","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1976","12","33.935","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1976","13","8.036","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1977","01","13.29","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1977","02","58.964","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1977","03","32.097","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1977","04","16.833","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1977","05","89.032","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1977","06","9.733","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1977","07","53.097","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1977","08","36.935","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1977","09","90.633","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1977","10","85.323","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1977","11","45.167","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1977","12","68.71","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1977","13","50.014","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1978","01","98.323","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1978","02","8.071","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1978","03","59.839","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1978","04","91.633","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1978","05","123.677","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1978","06","195.033","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1978","07","137.935","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1978","08","181.806","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1978","09","251.2","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1978","10","271.548","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1978","11","217.767","1","Crude Oil Exports","Thousand Barrels per Day"
