"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"COEXPUS","197702","58.964","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197703","32.097","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197704","16.833","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197705","89.032","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197706","9.733","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197707","53.097","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197708","36.935","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197709","90.633","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197710","85.323","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197711","45.167","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197712","68.71","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197713","50.014","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197801","98.323","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197802","8.071","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197803","59.839","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197804","91.633","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197805","123.677","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197806","195.033","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197807","137.935","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197808","181.806","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197809","251.2","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197810","271.548","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197811","217.767","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197812","250.516","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197813","158.159","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197901","176.903","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197902","288.429","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197903","369.613","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197904","259.667","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197905","171.419","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197906","234.6","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197907","244.484","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197908","244.903","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197909","174.7","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197910","178.613","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197911","264.167","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197912","215.258","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197913","234.814","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198001","321.774","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198002","331.517","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198003","329.613","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198004","192.333","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198005","325.71","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198006","365.333","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198007","237.645","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198008","77.806","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198009","321.567","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198010","309.226","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198011","288.967","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198012","342.581","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198013","286.708","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198101","338.593","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198102","197.947","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198103","210.28","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198104","197.709","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198105","312.234","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198106","123.263","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198107","257.293","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198108","203.873","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198109","193.767","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198110","225.677","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198111","277.919","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198112","188.948","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198113","227.852","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198201","238.148","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198202","304.325","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198203","320.962","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198204","174.481","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198205","261.635","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198206","93.979","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198207","229.192","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198208","303.848","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198209","184.144","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198210","270.438","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198211","261.959","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198212","192.59","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198213","236.381","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198301","116.932","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198302","262.071","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198303","173.5","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198304","87.674","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198305","280.248","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198306","143.547","1","Crude Oil Exports","Thousand Barrels per Day"
